District,Latitude,Longitude
Achham,29.041,81.301
Arghakhanchi,27.999,83.151
Baglung,28.273,83.589
Baitadi,29.516,80.542
Bajhang,29.637,81.202
Bajura,29.418,81.308
Banke,28.05,81.667
Bara,27.0,85.0
Bardiya,28.28,81.342
Bhojpur,27.174,87.05
Bhaktapur,27.672,85.429
Chitwan,27.529,84.354
Dadeldhura,29.222,80.567
Dailekh,28.848,81.708
Dang,28.04,82.301
Darchula,29.851,80.548
Dhading,27.897,84.902
Dhankuta,26.983,87.333
Dhanusha,26.978,86.002
Dolakha,27.679,86.283
Dolpa,28.983,83.733
Doti,29.26,80.9
Gorkha,28.0,84.632
Gulmi,28.073,83.268
Humla,29.999,81.851
Ilam,26.911,87.93
Jajarkot,28.7,82.212
Jhapa,26.533,88.083
Jumla,29.275,82.184
Kailali,28.68,80.586
Kalikot,29.138,81.6
Kanchanpur,28.97,80.183
Kapilvastu,27.583,83.05
Kaski,28.209,83.985
Kathmandu,27.7,85.333
Kavrepalanchok,27.533,85.533
Khotang,27.186,86.795
Lalitpur,27.667,85.317
Lamjung,28.283,84.283
Mahottari,26.75,85.933
Makwanpur,27.4,85.067
Manang,28.642,84.023
Morang,26.447,87.413
Mugu,29.666,82.259
Mustang,28.976,83.881
Myagdi,28.333,83.567
Nawalpur,27.583,83.8
Nuwakot,27.891,85.194
Okhaldhunga,27.316,86.5
Palpa,27.883,83.55
Panchthar,27.123,87.892
Parbat,28.237,83.601
Parsa,27.0,84.833
Pyuthan,28.083,82.833
Ramechhap,27.315,86.083
Rasuwa,28.117,85.283
Rautahat,26.783,85.267
Rolpa,28.333,82.85
Rukum East,28.704,82.468
Rukum West,28.654,82.398
Rupandehi,27.5,83.417
Salyan,28.383,82.183
Sankhuwasabha,27.623,87.294
Saptari,26.607,86.647
Sarlahi,26.963,85.574
Sindhuli,27.25,85.9
Sindhupalchok,27.95,85.717
Siraha,26.654,86.211
Solukhumbu,27.536,86.606
Sunsari,26.629,87.183
Surkhet,28.6,81.633
Syangja,28.167,83.833
Tanahun,27.983,84.267
Taplejung,27.358,87.67
Terhathum,27.132,87.557
Udayapur,26.806,86.686
