District,Population,Area
Achham,257477,1682
Arghakhanchi,197632,1184
Baglung,324487,1784
Baitadi,250898,1506
Bajhang,195159,3422
Bajura,108781,2116
Banke,385840,2257
Bara,687708,1190
Bardiya,426576,2025
Bhaktapur,413724,119
Bhojpur,182459,1506
Chitwan,579984,2178
Dadeldhura,142094,1254
Dailekh,261770,1544
Dang,552583,2955
Darchula,133274,2363
Dhading,336067,1926
Dhankuta,163412,891
Dhanusha,754777,1180
Dolakha,204229,2191
Dolpa,36485,7885
Doti,211746,2310
Gorkha,271061,3610
Gulmi,296654,1144
Humla,50949,5541
Ilam,290254,1703
Jajarkot,171304,2191
Jhapa,812650,1606
Jumla,108921,2531
Kailali,775709,3245
Kalikot,136948,1626
Kanchanpur,451248,1543
Kapilvastu,571936,1738
Kaski,492098,2017
Kathmandu,1744246,395
Kavrepalanchok,381937,1394
Khotang,206312,1591
Lalitpur,468132,385
Lamjung,167724,1396
Mahottari,627580,1002
Makwanpur,420477,2426
Manang,10656,2246
Morang,965370,1855
Mugu,55574,3779
Mustang,133246,3573
Myagdi,113641,2294
Nawalpur,280406,1226
Nuwakot,277471,1121
Okhaldhunga,147984,1074
Palpa,261180,1373
Panchthar,191817,1241
Parbat,146590,494
Parsa,601017,1353
Pyuthan,212484,1306
Ramechhap,202646,1563
Rasuwa,67940,1545
Rautahat,686722,1127
Rolpa,186557,1257
Rukum East,154026,2227
Rukum West,189805,2357
Rupandehi,886706,1360
Salyan,242444,1503
Sankhuwasabha,159886,3506
Saptari,639284,1363
Sarlahi,769729,1259
Sindhuli,296192,2491
Sindhupalchok,287798,2540
Siraha,637328,1189
Solukhumbu,107686,3340
Sunsari,818250,1257
Surkhet,350804,2426
Syangja,289148,1164
Tanahun,323288,1545
Taplejung,127461,3646
Terhathum,113111,679
Udayapur,317532,2046
